magmi:delete,sku
1,ANG-Type1228_DeskLamp.01
1,ANG-Type1228_DeskLamp.02
1,ANG-Type1228_DeskLamp.03
1,ANG-Type1228_FloorLamp
1,ANG-Type1228_FloorLamp.01
1,ANG-Type1228_FloorLamp.02
1,ANG-Type1228_FloorLamp.03
1,ANG-Type1228_WallMount
1,ANG-Type1228_WallMount.01
1,ANG-Type1228_WallMount.02
1,ANG-Type1228_WallMount.03
1,ANG-Type75Giant_FloorLamp
1,ANG-Type75Giant_FloorLamp.01
1,ANG-Type75Giant_FloorLamp.02
1,ANG-Type75Giant_FloorLamp.03
1,ANG-Type75Insert_DeskLamp
1,ANG-Type75Insert_DeskLamp.01
1,ANG-Type75Insert_DeskLamp.02
1,ANG-Type75Insert_DeskLamp.03
1,ANG-Type75MiniMetallic_DeskLamp
1,ANG-Type75MiniMetallic_DeskLamp.01
1,ANG-Type75MiniMetallic_DeskLamp.02
1,ANG-Type75MiniMetallic_DeskLamp.03
1,ANG-Type75Mini_ClampLamp
1,ANG-Type75Mini_ClampLamp.01
1,ANG-Type75Mini_ClampLamp.02
1,ANG-Type75Mini_ClampLamp.03
1,ANG-Type75Mini_DeskInsertLamp
1,ANG-Type75Mini_DeskInsertLamp.01
1,ANG-Type75Mini_DeskInsertLamp.02
1,ANG-Type75Mini_DeskInsertLamp.03
1,ANG-Type75Mini_DeskLamp
1,ANG-Type75Mini_DeskLamp.01
1,ANG-Type75Mini_DeskLamp.02
1,ANG-Type75Mini_DeskLamp.03
1,ANG-Type75Mini_WallLight
1,ANG-Type75Mini_WallLight.01
1,ANG-Type75Mini_WallLight.02
1,ANG-Type75Mini_WallMount
1,ANG-Type75Mini_WallMount.01
1,ANG-Type75Mini_WallMount.02
1,ANG-Type75Mini_WallMount.03
1,ANG-Type75_DeskClampLamp
1,ANG-Type75_DeskClampLamp.01
1,ANG-Type75_DeskClampLamp.02
1,ANG-Type75_DeskClampLamp.03
1,ANG-Type75_DeskLamp
1,ANG-Type75_DeskLamp.01
1,ANG-Type75_DeskLamp.02
1,ANG-Type75_DeskLamp.03
1,ANG-Type75_FloorLamp
1,ANG-Type75_FloorLamp.01
1,ANG-Type75_FloorLamp.02
1,ANG-Type75_FloorLamp.03
1,ANG-Type75_PendantMaxi
1,ANG-Type75_PendantMaxi.01
1,ANG-Type75_PendantMaxi.02
1,ANG-Type75_PendantMaxi.03
1,ANG-Type75_WallLight
1,ANG-Type75_WallLight.01
1,ANG-Type75_WallLight.02
1,ANG-Type75_WallLight.03
1,ANG-Type75_WallMount
1,ANG-Type75_WallMount.01
1,ANG-Type75_WallMount.02
1,ANG-Type75_WallMount.03
1,BIE-QT2EN
1,BIE-TSEN
1,BRS-BH013LW
1,BRS-BH013LW.01
1,BRS-BH013LW.02
1,BRS-BH021
1,BRS-BH021.01
1,BRS-BH021.02
1,BRS-BH022
1,BRS-BH022.01
1,BRS-BH022.02
1,BRS-BH023
1,BRS-BH023.01
1,BRS-BH023.02
1,BRS-BH026
1,BRS-BH026.01
1,BRS-BH026.02
1,BRS-BH027
1,BRS-BH027.01
1,BRS-BH027.02
1,BRS-BH028
1,BRS-BH028.01
1,BRS-BH028.02
1,BRS-BH047BLACK
1,BRS-BH048BLACK
1,BRS-BH050SILVER
1,BRS-BH051SILVER
1,BRS-BH052SILVER
1,BRS-BH053SILVER
1,BRS-BH056WHITE
1,BRS-BH057/2BK
1,BRS-BH058/1BK
1,BRS-BH060BLACK
1,BRS-BH061BLACK
1,BRS-BH062BLACK
1,BRS-BH064
1,BRS-BH064.01
1,BRS-BH064.02
1,BRS-BH066
1,BRS-BH066.01
1,BRS-BH066.02
1,BRS-BH067
1,BRS-BH067.01
1,BRS-BH067.02
1,BRS-BH073GREY
1,BRS-BH074BLACK
1,BRS-BH075BLACK
1,BRS-BH076BLACK
1,BRS-BH080BLACK
1,BRS-BH082BLACK
1,BRS-BH084BLACK
1,BRS-BH085BLACK
1,BRS-BH090MATTBLACK
1,BRS-BH091MATTBLACK
1,BRS-BH093MATTBLACK
1,BRS-BH110
1,BRS-BH110.01
1,BRS-BH110.02
1,BRS-BH111
1,BRS-BH111.01
1,BRS-BH111.02
1,BRS-BH112
1,BRS-BH112.01
1,BRS-BH112.02
1,BRS-BH113
1,BRS-BH113.01
1,BRS-BH113.02
1,BRS-BH114
